"|","time","accelerations__z","accelerations__y","accelerations__x","rotation__gamma","rotation__alpha","rotation__beta","uuid","location__longitude","location__latitude"
"-JlgSl1JIb-Jcuu7_JVb","1427748884132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgO7cr5fPCCITQ_2Bx","1427747669366","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgV--7dcBeD-RU3UFC","1427749468835","10.023324966430664","10.421361923217773","0.6015431880950928","1.5180017948150635","0.08655273914337158","-0.3749730885028839","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgIXiNJJ9XVfVz5z2m","1427746203613","12.79581069946289","4.796782970428467","2.278681516647339","-0.20266656577587128","1.003212809562683","-0.14487597346305847","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlfxZ2O0wdFzng0jy-p","1427740442973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533722","47.4727068"
"-JlgHOhicUPq2WTsAxay","1427745904572","6.0872578620910645","6.162076473236084","3.2411506175994873","0.1203748807311058","0.6032059788703918","0.30466562509536743","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-Jlg-5tHATnAwY3wugnK","1427741109974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-Jlfwr7OwQD2hn_cK2_t","1427740258973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0534413","47.4726424"
"-Jlfz0nPw_5mgQM4lnfU","1427740826974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgMPk-I9Uhnl7SgGGA","1427747219077","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgNNmLAetlwMLsb1ml","1427747473365","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgTYK3nsTJahiToGl0","1427749090132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlfzEDnuVORqC33qUJB","1427740881975","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-Jlfz7OGpDbqKAmYKV9z","1427740853973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgGmkiVfmphvQs63_R","1427745745021","6.567893981933594","5.07570743560791","2.0045454502105713","-0.839961051940918","-0.9238505959510803","-0.3917509913444519","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-Jlfx_0z9ef9aZoUmxR1","1427740446979","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgLdmMYnwiQXCQPVJl","1427747018525","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgHUK4rnhiX_mPppoc","1427745927571","6.0872578620910645","6.162076473236084","3.2411506175994873","0.1203748807311058","0.6032059788703918","0.30466562509536743","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgKlyVN-1rbzAEcGAG","1427746789925","8.725667953491211","7.64109468460083","10.498574256896973","-1.1648666858673096","-0.8556736707687378","-1.6703346967697144","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgM3lk0kaKicbu25dK","1427747129077","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgHgGoY8QyGMFFgR5Y","1427745980605","8.033743858337402","4.9386396408081055","-0.5877765417098999","-0.13528858125209808","0.11424960941076279","-0.06764429062604904","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlfyuxtxmZuMjEGTBzl","1427740798973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgSpuoyy-oOlfkXq7F","1427748904132","3.178901195526123","7.805097579956055","2.7461493015289307","-0.005858954507857561","1.3659353256225586","-1.3925669193267822","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgUnXjAjRsiRlobAA0","1427749417796","6.824073314666748","4.656123638153076","-0.16759411990642548","0.36565202474594116","-0.0439421571791172","0.3201119601726532","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlgK6-VFen9--HN-YZ6","1427746613925","8.725667953491211","7.64109468460083","10.498574256896973","-1.1648666858673096","-0.8556736707687378","-1.6703346967697144","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlfyhXX8qdODaZjF0TX","1427740743974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-Jlfz-50-JK25Bxh01b5","1427740819973","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgHAePrvl9pIcvv76w","1427745847016","6.209362030029297","2.6629507541656494","4.462193489074707","0.3893541693687439","-1.5390408039093018","-2.7340011596679688","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
